level_0,index,ds,BNB_USDT_1h_open,BNB_USDT_1h_high,BNB_USDT_1h_low,BNB_USDT_1h_close,BNB_USDT_1h_volume,BTC_USDT_1h_open,BTC_USDT_1h_high,BTC_USDT_1h_low,BTC_USDT_1h_close,BTC_USDT_1h_volume,DOGE_USDT_1h_open,DOGE_USDT_1h_high,DOGE_USDT_1h_low,DOGE_USDT_1h_close,DOGE_USDT_1h_volume,ETH_USDT_1h_open,ETH_USDT_1h_high,ETH_USDT_1h_low,ETH_USDT_1h_close,ETH_USDT_1h_volume,SOL_USDT_1h_open,SOL_USDT_1h_high,SOL_USDT_1h_low,SOL_USDT_1h_close,SOL_USDT_1h_volume,XRP_USDT_1h_open,XRP_USDT_1h_high,XRP_USDT_1h_low,XRP_USDT_1h_close,XRP_USDT_1h_volume
53,53,2023-06-01,306.7998,307.7136,303.2,304.9748,3111.54819,27211.51,27352.39,26609.31,26815.44,6035.760826,0.07165,0.07218,0.07069,0.07141,47476577.4,1873.53,1888.84,1838.7,1861.81,64084.88854,20.82,20.98,20.41,20.5,332286.796,0.5167,0.5167,0.5015,0.5064,36137776.65
54,54,2023-06-02,304.9748,308.5,303.3568,307.3223,2961.06337,26815.44,27292.98,26507.88,27241.45,6454.217121,0.07141,0.07329,0.0709,0.07256,46376014.6,1861.81,1910.69,1847.68,1906.8,59255.84304,20.5,21.37,20.3,21.26,363264.21,0.5064,0.527,0.5034,0.5245,37952534.83
55,55,2023-06-03,307.3223,308.07,305.1105,306.6575,1611.3642399999999,27241.45,27325.45,26921.46,27072.14,2556.212168,0.07256,0.07298,0.07217,0.0727,22682823.7,1906.8,1907.96,1882.0,1892.1,23940.45968,21.26,21.35,20.96,21.18,235570.942,0.5245,0.5336,0.5145,0.5189,25891995.52
56,56,2023-06-04,306.6575,307.5771,304.6653,305.0789,1758.02068,27072.14,27457.1,26953.84,27117.45,2915.2484,0.0727,0.07331,0.07231,0.07248,28636478.1,1892.1,1914.0,1884.39,1890.0,29560.88554,21.18,22.29,21.03,21.82,461600.852,0.5189,0.547,0.5152,0.5358,33018722.21
57,57,2023-06-05,305.0789,305.0789,272.1651,277.0973,13594.54277,27117.45,27129.44,25396.08,25727.27,11373.596451,0.07248,0.07269,0.0629,0.06646,144077394.7,1890.0,1890.8,1778.44,1810.25,104839.85497,21.82,22.05,19.22,20.01,951622.222,0.5358,0.5433,0.4866,0.5089,89158116.97
58,58,2023-06-06,277.0973,286.3783,273.4006,281.0019,9372.50722,25727.27,27351.21,25351.1,27230.2,10324.624533,0.06646,0.07197,0.06586,0.07027,136115993.2,1810.25,1898.23,1797.25,1884.02,92669.33493,20.01,20.69,19.22,20.38,745396.941,0.5089,0.5326,0.4955,0.5297,53780431.660000004
59,59,2023-06-07,281.0019,281.7396,253.6,259.23,12419.851,27230.2,27388.0,26131.0,26343.37,9580.115948,0.07027,0.07031,0.06664,0.06727,104954714.1,1884.02,1897.22,1820.68,1832.34,83733.62067999999,20.38,20.53,18.5,18.63,778170.486,0.5297,0.5382,0.5069,0.5182,57444781.21
60,60,2023-06-08,259.23,267.6044,257.1425,262.0502,6444.82415,26343.37,26815.58,26213.47,26501.57,5631.249805,0.06727,0.06851,0.06699,0.06797,55183252.0,1832.34,1861.19,1828.56,1845.66,40487.43038,18.63,19.12,18.24,18.89,492000.815,0.5182,0.5277,0.5155,0.5237,31446381.54
61,61,2023-06-09,262.0502,264.5289,255.6514,260.6528,7308.13969,26501.57,26778.33,26275.01,26478.64,4649.188268,0.06797,0.07118,0.06726,0.06948,112025734.7,1845.66,1855.09,1826.93,1840.25,44395.421089999996,18.89,19.37,17.11,17.39,972019.448,0.5237,0.5419,0.5205,0.5379,39846130.98
62,62,2023-06-10,260.6528,260.7131,227.8304,238.9391,19266.59362,26478.64,26531.99,25361.76,25841.03,8603.752727000001,0.06948,0.0715,0.05308,0.06175,400554764.8,1840.25,1844.9,1716.38,1751.39,125656.82999,17.39,17.41,12.75,15.62,2534463.803,0.5379,0.5386,0.4718,0.5067,103737088.8
63,63,2023-06-11,238.9391,239.1586,229.7445,235.3336,6313.99025,25841.03,26200.0,25634.73,25924.31,3982.409641,0.06175,0.06292,0.06091,0.06153,117681592.6,1751.39,1778.1,1738.46,1752.62,54976.36008,15.62,16.18,15.12,15.54,859446.649,0.5067,0.5293,0.5023,0.5207,30995884.7
64,64,2023-06-12,235.3336,239.427,220.2598,231.318,23593.87314,25924.31,26102.19,25617.0,25907.57,5359.366135,0.06153,0.06169,0.05973,0.06145,97544559.8,1752.62,1759.5,1719.77,1742.47,62095.649320000004,15.54,15.69,14.74,15.19,701611.419,0.5207,0.528,0.5083,0.525,42740747.31
65,65,2023-06-13,231.318,246.7944,228.8,244.2177,17358.36754,25907.57,26428.56,25721.76,25935.73,5834.399113,0.06145,0.06278,0.06047,0.06176,83361108.6,1742.47,1766.34,1724.17,1740.21,53123.98656,15.19,16.01,14.77,15.04,552723.042,0.525,0.5655,0.505,0.5191,90216522.6
